"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
56,"Climax","French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",97,"Drama",7,67,56863,0.8,"Gaspar No¨¦","Sofia Boutella"
57,"The House That Jack Built","The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",152,"Crime",6.8,42,63171,0.09,"Lars von Trier","Matt Dillon"
58,"MILF","Three best friends in their forties start a relationship with younger men while on vacation.",101,"Comedy",4.7,NA,5028,NA,"Axelle Laffont","Marie-Jos¨¦e Croze"
59,"Mile 22","A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",94,"Action",6.1,38,71502,36.11,"Peter Berg","Mark Wahlberg"
60,"Capharna¨¹m","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126,"Drama",8.4,75,70413,1.66,"Nadine Labaki","Zain Al Rafeea"
61,"Hunter Killer","An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",121,"Action",6.6,43,57265,15.77,"Donovan Marsh","Gerard Butler"
62,"Rampage","When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",107,"Action",6.1,45,149869,101,"Brad Peyton","Dwayne Johnson"
63,"Creed II","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",130,"Drama",7.1,66,110453,115.7,"Steven Caple Jr.","Michael B. Jordan"
64,"Den of Thieves","An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.",140,"Action",7,49,98007,44.95,"Christian Gudegast","Gerard Butler"
65,"Wij","Eight teens - four guys and four girls - are the best of friends. One summer, out of boredom they experiment with all manner of new means to entertain themselves. This degenerates into some extreme behaviour and will lead to tragedy.",100,"Drama",5.7,NA,2207,NA,"Rene Eller","Aim¨¦ Claeys"
66,"Profile","An undercover British journalist infiltrates the online propaganda channels of the so-called Islamic State, only to be sucked in by her recruiter.",106,"Mystery",6.8,54,1247,NA,"Timur Bekmambetov","Valene Kane"
67,"Overlord","A small group of American soldiers find horror behind enemy lines on the eve of D-Day.",110,"Action",6.6,60,90507,21.7,"Julius Avery","Jovan Adepo"
68,"Level 16","In a highly regimented boarding school, a pair of students discover that things are not as they seem.",102,"Drama",6,46,6837,NA,"Danishka Esterhazy","Katie Douglas"
69,"The Guernsey Literary and Potato Peel Pie Society","In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.",124,"Drama",7.4,65,38932,NA,"Mike Newell","Jessica Brown Findlay"
70,"The Mule","A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.",116,"Crime",7,58,120420,103.8,"Clint Eastwood","Clint Eastwood"
71,"Welcome Home","A couple spend a weekend at a vacation rental home in the Italian countryside in an attempt to repair their relationship, but soon become victims of the homeowner's sinister plans.",97,"Thriller",5.2,38,6644,NA,"George Ratliff","Emily Ratajkowski"
72,"Vice","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",132,"Biography",7.2,61,129246,47.84,"Adam McKay","Christian Bale"
73,"Game Night","A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.",100,"Action",6.9,66,213980,69.18,"John Francis Daley","Jason Bateman"
74,"12 Strong","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",130,"Action",6.6,54,70986,45.5,"Nicolai Fuglsig","Chris Hemsworth"
75,"Hotel Transylvania 3: Summer Vacation","Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",97,"Animation",6.3,54,61035,167.5,"Genndy Tartakovsky","Adam Sandler"
76,"Mary Queen of Scots","Mary Stuart's (Saoirse Ronan's) attempt to overthrow her cousin Elizabeth I (Margot Robbie), Queen of England, finds her condemned to years of imprisonment before facing execution.",124,"Biography",6.3,60,44835,16.47,"Josie Rourke","Saoirse Ronan"
77,"Maze Runner: The Death Cure","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",143,"Action",6.3,50,120007,58.03,"Wes Ball","Dylan O'Brien"
78,"Under the Silver Lake","Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",139,"Crime",6.5,60,35629,0.05,"David Robert Mitchell","Andrew Garfield"
79,"Ralph Breaks the Internet","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",112,"Animation",7,71,139032,201,"Phil Johnston","John C. Reilly"
